,12/17/2013,(all prices list),List Unit Price,List Extended,VENDOR TOTAL,Country of Origin,Schedule B Tariff Code,MFR,Picture
1,"http://www.amazon.com/AeroMarine-300-Epoxy-Resin-Gallon/dp/B0047R0I18

","AeroMarine 300/21 Epoxy Resin 3 Gallon Kit - with Metering PUMPS
",181,181,,,,,
2,"http://www.amazon.com/Wide-Yard-Long-Natural-Burlap/dp/B001BLJQB6
","Burlap By The Yard - Natural 60 Inch Wide x 20 Yard Long

",36.4,72.8,,,0,,
2,"http://www.amazon.com/RELEASE-FABRIC-60-inches-yards/dp/B002IZBNJ2

","RELEASE FABRIC 60 inches x 2 yards

",34.6,69.2,,,,,
2,"http://www.amazon.com/Duck-Stretch-20-Inch-Single-970700/dp/B000NHTUCE
","Duck Brand Stretch Wrap, 20-Inch Wide x 1000 Feet Long, Single Roll (970700)

",19.37,38.74,,,,,
1,http://www.amazon.com/Warner-250-Tool-covering-Perforator/dp/B000I6JLAQ,"Warner 250 Tool Wall covering Perforator

",31.42,31.42,,,,,
2,"http://www.amazon.com/Morning-Glory-Batting-81-Inch-96-Inch/dp/B0040ZOOEY/ref=sr_1_1?ie=UTF8&qid=1382621041&sr=8-1&keywords=morning+glory+batting
","Morning Glory Great Glory III Loft Batting

",18.7,37.4,,,,,
2,"http://www.amazon.com/Space-Saver-Vacuum-Storage-Jumbo/dp/B004X98B5A
","50 PACK Space Saver Vacuum Storage Bags Jumbo Size 51""X40""

",104.95,209.9,,,,,
2,"http://www.amazon.com/Mann-Release-Technologies-Ease-200/dp/B004BNAN3G
","Mann Release Technologies Ease Release 200 14 fl. oz.

",16.73,33.46,,,,,
5,"http://www.amazon.com/Johnson-Fine-Wood-Paste-00203/dp/B0000DIWIM
","Johnson Wax 16 Oz Fine Wood Paste Wax 00203

",6.89,34.45,,,,,
3,"http://www.amazon.com/Gorilla-Glue-50008-Adhesive-8-Ounces/dp/B0000223UV

","Gorilla Glue 50008 Adhesive, 8-Ounces

",10.97,32.91,,,,,
2,"http://www.amazon.com/Members-Mark-Clear-Plastic-Cups/dp/B001KJFPR8
","Member's Mark Clear Plastic Cups - 100/16 oz.

",14.85,29.7,,,,,
2,http://www.amazon.com/Perfect-Stix-PAINT9-Birchwood-Paddle/dp/B009EE61MY,"Perfect Stix PAINT9 Birchwood Paint Paddle Stick, 9"" Length (Pack of 100)

",12.15,24.3,,,,,
2,"http://www.amazon.com/Mountain-4526-4-Inch-Plastic-Spreaders/dp/B000LQDATG
","Mountain 4526 4-Inch Plastic Spreaders, 100/box

",22.82,45.64,,,,,
1,"http://www.amazon.com/Denali-30-Piece-Bar-Clamp-Assortment/dp/B000NDMO94
","Denali 30-Piece Bar Clamp Assortment
",145.49,145.49,,,,,
3,"http://www.amazon.com/Wiss-20N-Heavy-Industrial-Shears/dp/B00002N7R9
","Wiss 20N Heavy Duty Industrial Shears

",33.5,100.5,,,,,
2,"http://www.amazon.com/dp/B003K15D9E

","Ansell TNT Blue 92-575 Nitrile Glove, Chemical Resistant, Powdered, Disposable, Rolled Beaded Cuff, 9.5"" Length, 5 mils Thick, Large (Pack of 100)

",10.21,20.42,composites:,,,,
,,,,0,1107.33,,,,
,,,,,,,,,
,Air Compressor,,,,,,,,
,http://www.compressorworld.com,,,,2500,,,,
1, 3 Horsepower Rotary Screw Air Compressor,http://www.compressorworld.com/3-HP-Chicago-Pneumatic-Rotary-Screw-Air-Compresso-p/cpn%203%20150%20208-230-fslash-460-fslash-3-fslash-60%20200.htm,2500,,,,,,
,*** expect to need to locally source fittings and hoses/pipes to connect this to appropriate machines,,,,,,,,
,,,,,,,,,
,Abrasive Sand Blasting,,,,2227.61,,,,
1,abrasive blasting cabinet,http://www.northerntool.com/shop/tools/product_200141174_200141174,849.99,,,,,,
1,abrasive dust separator/collector,http://www.mcmaster.com/31205K21,1201.42,,,,,,
2,abrasive blasting media,http://www.mcmaster.com/3418K82,88.1,,,,,,
,,,,,,,,,
,Staples,,,,71.75,,,,
,http://www.staples.com,,,,,,,,
,stock fixturing:,,,,,,,,
25,504829,"Model 137 Scotch Double Sided Permanent Tape with Dispenser, 1/2"" x 450""",3.49,87.25,,USA,3919.10,,
2,462107,"Intertape #597 Double Sided Film Tape, 2"" x 36 yds., 2/Pack",69.99,139.98,,,,,
,molding and casting cups:,,,,,,,,
5,617688," Model RK5 Translucent Plastic Cold Cups, 5-oz, 100/Pack",2.99,14.95,,USA,3924.10.0002,,
5,563562,"TP10 Solo Plastic Party Cups, 10-oz.",6.79,33.95,,USA,3924.10.0002,,
5,494051,"Model TP16 Solo Plastic Party Cups, 16-oz. Clear",5.79,28.95,,USA,3924.10.0002,,
,cleaning supplies:,,,,,,,,
10,538868,"Model 5320 Kimberly-Clark Utility Wipes, 9"" x 10 1/2"", 125/Pack",3.79,37.90,,USA,4823.70,,
10,807727,"Sustainable Earth All-Purpose Cleaner, 32 oz. Spray",3.99,39.90,,,2207.20,,
3,428881,Model E507008 Angle Sweep Broom,12.99,38.97,,USA,9603.90.0000,,
3,850443,Model 710 Plastic Dust Pan,2.81,8.43,,USA,3924.90,,
,office supplies:,,,,,,,,
3,487547,"uni-ball Vision Elite Rollerball Pens, Micro Point, Blue/Black, Dozen",27.49,82.47,,,9608.10.0000,,
5,229690,"13023/13403 Acme 8"" Economy Shears, Bent-Handle, 3/Pack",7.99,39.95,,USA,8213.00.0000,,
1,461045,"Carl 12"" Professional Rotary Paper Trimmer",44.99,44.99,,,,,
5,514742,"Model 11454-CC Staples Mechanical Pencils .7mm, Black Barrel w/ Blue Grip, Dozen",2.98,14.90,,USA,9608.40,,
5,399782,"Model L50BP3HB-K6 Pentel Super Hi-Polymer Lead Refills, 0.7mm, HB, 36 Leads",2.09,10.45,,USA,9609.20,,
5,264291,"Model ZE21BP3-K6 Pentel Clic Eraser with Grip, 3/Pack",3.89,19.45,,USA,4016.92,,
3,163451,"Model 11299 Staples Glue-Top Scratch Pads, 5"" x 8"", White, 12/Pack",9.08,27.24,,USA,4820.90.0000,,
5,609009,Model 4184/Scotch Transparent Tape with Refillable Dispenser,7.79,38.95,,USA,3919.10,,
5,452605,"Model 07364/Duck HP260 Crystal-Clear Packaging Tape w/ Dispenser, Clear, 1.89"" x 60 yds",7.99,39.95,,USA,3919.10,,
,batteries:,,,,,,,,
1,752759,"Duracell 9-Volt Alkaline Batteries, 72/Pack",229.99,229.99,,USA,8506.80.00.00,,
1,751595,"Duracell AA Alkaline Batteries, 144/Pack",114.99,114.99,,USA,8506.80.00.00,,
1,751596,"Duracell AAA Alkaline Batteries, 144/Pack",129.99,129.99,,USA,8506.80.00.00,,
,labeller and tape:,,,,,,,,
1,615073,Model PT18R Brother PT-18R Rechargeable Label Maker,129.99,129.99,,China,84.43,,
3,486803,"Model TZ231 Brother 1/2"" 12mm Black on White tape",19.99,59.97,,China,3919.10,,
3,522946,"Model TZ-221/Brother 3/8"" 9mm Black on White tape",16.99,50.97,,China,3919.10,,
3,486852,"Model TZ241 Brother 3/4"" 18mm Black on White tape",19.99,59.97,,China,3919.10,,
3,392381,"Model TZ211 Brother 1/4"" 6mm Black on White tape",14.49,43.47,,China,3919.10,,
,,,,,Staples: ,USA,4802.56,,
,,,,,"$1,567.97",,,,
,,,,,,,,,
,WonPro,,,,,,,,
,http://www.europlugs.com/,,,,,,,,
,For international locations not on the 110V system we suggest the,,,,,,,,
,following electrical supplies for conversion and adaptation:,,,,,,,,
8,WE-4A6 ,Universal Power Bar   ,29.99,239.92,,China,8536.30,,
,OR,Country-Specific Power Cord Sold Separately%97cost approx. ,,,,,,,
,,depending on length of cord,,,,,,,
8,WE-4A6-GF, Universal Power Bar ,29,232.00,,China,8536.30,,
,,plug configuration  usually send about 8 of these,,,,,,,
,,Country-Specific Power Cord Sold Separately%97cost approx. ,,,,,,,
,,depending on length of cord,,,,,,,
24,,24  Universal Plug Adapters  ,5,120.00,Won Pro:,China,8544.42,,
,,please see http://www.europlugs.com/Wonpro_catalog/WA_Plug_Adapters_Ivory_Overview.htm for your specific adapter.,,,$591.92,,,,
,,,,,,,,,
,** Reference Books** ,,,,,,,,
,Purchase through Amazon.com,,,,,,,,
1,0521570956,"The Nature of Mathematical Modeling, Gershenfeld",38,,,,4901.99.0050,,
1,0521580447,"The Physics of Information Technology, Gershenfeld",26.99,,,,4901.99.0050,,
1,0465027466,"Fab: The Coming Revolution on Your Desktop--from Personal Computers to Personal Fabrication, Gershenfeld",14.04,,,,4901.99.0050,,
1,007134666X,"Programming and Customizing the AVR Microcomputer, Dhananjay Gadre",24.85,,,,4901.99.0050,,
1,0070580782,"Practical Electronics for Inventors, Paul Scherz ",44.5,,,,4901.99.0050,,
1,0198562403,"Electric Motors and Their Controls: An Introduction, Tak Kenjo",63.56,,,,4901.99.0050,,
1,0070240124,"Electric Motors and Control Techniques, Irving M. Gottleib",14.24,,,,4901.99.0050,,
1,0750677236,"Analog Interfacing to Embedded Microprocessor Systems, Stuart Ball",50.32,,,,4901.99.0050,,
1,0596006403,"Linux Cookbook, Carla Schroder",29.67,,,,4901.99.0050,,
1,0750656352,"AVR: An Introductory Course, John Morton",34.36,,,,4901.99.0050,,
1,0387007504,"Handbook of Modern Sensors: Physics, Designs and Applications, Jacob Fraden",72.72,,,,4901.99.0050,,
1,0872634922,"Precision Machine Design, Alexander Slocum",112,,,,4901.99.0050,,
1,0521370957,"The Art of Electronics, Paul Horowitz, Winfield Hill",93.75,,,,4901.99.0050,,
1,0596002815,"Learning Python, Second Edition, Mark Lutz, David Ascher",50.03,,,,4901.99.0050,,
1,0596001886,"Python in a Nutshell, Alex Martelli",6.93,,,,4901.99.0050,,
1,0813340063,"Building Scientific Apparatus, John Moore, et al",151.84,,,,4901.99.0050,,
,,,,,,,,,
,,,,,,,,,
,fab lab list cost before shipping,,,,,,,,
,,"$98,821.13",,,,,,,
